season,nfl_id,name,position,ngs_position,position_group,team_id,games_played,games_started,game_snaps,team_snaps,pass_rush_snaps,pass_rush_rate,get_off_time,qb_pressures,qb_pressure_rate,time_to_pressure,sacks,sack_rate,time_to_sack,qb_defeats,turn_pressures,qualified_defender
2019,39951,Ezekiel Ansah,DE,ED,DL,4600,11,1,325,698,235,0.9109,0.8435,23,0.0979,2.84348,2.5,0.0106,4.71333,10,0,False
2019,46299,Leon Jacobs,LB,ED,LB,2250,14,7,320,884,39,0.2932,1.06472,7,0.1795,2.64286,2,0.0513,4.54167,4,0,False
2019,40463,Brandon Copeland,LB,LB,LB,3430,12,3,313,783,47,0.2919,0.86933,7,0.1489,2.74286,1.5,0.0319,4.568,2,0,False
2019,33341,Wesley Woodyard,ILB,LB,LB,2100,13,2,311,877,21,0.1082,0.9878,4,0.1905,2.05,1,0.0476,3.692,4,0,False
2019,41279,Jeremiah Attaochu,OLB,ED,LB,1400,11,5,309,701,167,0.8979,0.92888,17,0.1018,3.28235,3.5,0.021,5.97275,6,0,False
2019,41919,Zach Kerr,NT,DT,DL,3800,12,3,309,810,159,0.9755,1.08057,10,0.0629,2.64,0,,0,3,0,False
2019,43301,Sheldon Rankins,DT,DT,DL,3300,10,0,309,624,220,0.9735,1.12228,15,0.0682,3.18,2,0.0091,6.1065,5,0,False
2019,43332,Austin Johnson,NT,DT,DL,2100,16,1,307,1056,159,0.9938,1.13852,7,0.044,3.51429,0,,0,1,0,False
2019,43392,Sheldon Day,DT,DT,DL,4500,16,2,307,968,162,1,1.14142,6,0.037,2.78333,1,0.0062,4.338,3,0,False
2019,43361,Jonathan Bullard,DE,DT,DL,3800,9,6,299,624,161,0.9938,1.00537,12,0.0745,3.08333,1.5,0.0093,4.335,2,1,False
2019,43938,Antwaun Woods,DT,DT,DL,1200,10,10,297,631,147,0.9735,1.18385,5,0.034,3.98,0,,0,0,0,False
2019,47802,Jeffery Simmons,DT,DT,DL,2100,9,7,297,615,162,1,1.09515,8,0.0494,3.2875,2,0.0123,4.1045,0,0,False
2019,46232,Tim Settle,NT,DT,DL,5110,15,1,294,1013,159,0.9938,1.09481,18,0.1132,3.08889,2,0.0126,3.9375,4,0,False
2019,42331,Efe Obada,DE,ED,DL,0750,16,0,292,1042,157,0.9937,0.88448,11,0.0701,3.19091,0,,0,3,0,False
2019,46269,Foye Oluokun,LB,LB,LB,0200,16,3,291,985,15,0.0943,1.03886,0,,0,0,,0,0,0,False
2019,47867,Khalen Saunders,DT,DT,DL,2310,12,4,290,782,142,0.966,1.26863,3,0.0211,4.66667,1,0.007,8.041,0,0,False
